,Flat,Semi-Furnished,Unfurnished,Resale,Ready to Move,"Delhi,","Dwarka,","East,","Faridabad,","Ghaziabad,","Gurgaon,","Noida,","North,","Rohini,","South,","West,",Unnamed: 0,price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft,has_landmark
83,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,83,13500000.0,2425.0,28.44456311,76.9550119,4.0,4.0,0.0,0.0,0.0,5567.01030927835,0.0
84,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,84,4500000.0,1198.0,28.633363723754883,77.43121337890625,3.0,2.0,1.0,0.0,0.0,3756.260434056762,1.0
85,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,85,32500000.0,3000.0,28.4969141,77.1652546,3.0,3.0,2.0,2.0,1.0,10833.333333333334,1.0
86,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,86,11000000.0,1743.0,28.419032,77.028272,3.0,3.0,2.0,1.0,0.0,6310.9581181870335,0.0
87,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,87,3200000.0,650.0,28.59803581237793,77.07652282714844,2.0,2.0,1.0,0.0,0.0,4923.076923076923,0.0
88,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,88,3200000.0,815.0,28.446343,77.515305,2.0,2.0,0.0,0.0,0.0,3926.38036809816,0.0
89,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,89,3400000.0,1050.0,28.7005505,77.3286995,2.0,2.0,0.0,0.0,0.0,3238.095238095238,0.0
90,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,90,11100000.000000002,2100.0,28.468477249145508,77.31389617919922,4.0,3.0,2.0,0.0,0.0,5285.714285714286,0.0
91,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,91,3500000.0,900.0,28.6809994,77.356998,2.0,2.0,1.0,0.0,0.0,3888.8888888888887,0.0
92,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,92,12500000.0,1836.0,28.414627,77.060127,3.0,3.0,3.0,2.0,3.0,6808.278867102396,1.0
93,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,93,8500000.0,1495.0,28.502597,77.428742,3.0,2.0,0.0,0.0,0.0,5685.61872909699,0.0
94,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,94,4200000.0,1040.0,28.616204,77.422256,2.0,2.0,2.0,1.0,3.0,4038.4615384615386,1.0
95,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,95,82000000.0,5495.0,28.4361825275276,77.1043058418003,5.0,6.0,2.0,3.0,3.0,14922.65696087352,1.0
96,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,96,9000000.0,1250.0,28.6401587513384,77.066265900795,2.0,2.0,2.0,0.0,0.0,7200.0,1.0
97,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,97,14000000.0,2500.0,28.68651580810547,77.29942321777344,3.0,2.0,1.0,2.0,0.0,5600.0,1.0
98,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,98,8900000.0,1815.0,28.45251307,76.97627035,3.0,3.0,0.0,0.0,0.0,4903.581267217631,0.0
99,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,99,3200000.0,1041.0,28.701837981083,77.423206716491,2.0,2.0,3.0,0.0,0.0,3073.967339097022,0.0
100,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,100,15000000.0,2000.0,28.412109,77.049522,4.0,4.0,3.0,2.0,0.0,7500.0,1.0
101,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,101,9200000.0,1960.0,28.393665,76.962842,3.0,3.0,3.0,123.0,2.0,4693.877551020408,1.0
102,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,102,11500000.0,1963.0,28.406752,76.96474017,3.0,3.0,3.0,2.0,2.0,5858.380030565461,1.0
103,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,103,6000000.0,1246.0,28.5863287948209,77.4010620206905,2.0,2.0,3.0,1.0,2.0,4815.409309791332,1.0
104,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,104,3900000.0,1085.0,28.473679,77.506258,2.0,2.0,3.0,0.0,3.0,3594.470046082949,1.0
105,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,105,3600000.0,995.0,28.606945,77.455578568448,2.0,2.0,3.0,0.0,0.0,3618.0904522613055,1.0
106,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,106,49000000.0,6168.0,28.470149,77.535673,5.0,5.0,3.0,3.0,0.0,7944.228274967574,1.0
107,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,107,7500000.0,1260.0,28.3824895,76.9823169,2.0,2.0,0.0,1.0,2.0,5952.380952380952,1.0
108,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,108,18000000.0,1700.0,28.5884566,77.304787,4.0,3.0,1.0,1.0,2.0,10588.235294117649,1.0
109,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,109,17200000.0,2025.0,28.5858422747995,77.0606247868441,3.0,2.0,4.0,2.0,2.0,8493.827160493827,1.0
110,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,110,17000000.0,1600.0,28.66662979125977,77.1522216796875,3.0,2.0,2.0,2.0,3.0,10625.0,1.0
111,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,111,5500000.0,1150.0,28.497455596923828,77.02713775634766,3.0,2.0,1.0,1.0,1.0,4782.608695652174,1.0
112,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,112,13000000.0,2300.0,28.655845642089844,77.36822509765625,4.0,4.0,3.0,0.0,0.0,5652.173913043478,1.0
113,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,113,9900000.0,1760.0,28.407361,76.93426176,3.0,2.0,4.0,1.0,3.0,5625.0,1.0
114,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,114,7000000.0,559.0,28.7295315,77.106949,2.0,2.0,0.0,0.0,0.0,12522.36135957066,0.0
115,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,115,5150000.0,1234.0,28.500621,77.424203,2.0,2.0,2.0,0.0,0.0,4173.419773095624,1.0
116,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,116,7500000.0,700.0,28.6628739905415,77.0977670161547,2.0,2.0,0.0,1.0,0.0,10714.285714285714,1.0
117,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,117,2630000.0,750.0,28.39244079589844,77.34424591064453,3.0,2.0,2.0,0.0,0.0,3506.6666666666665,0.0
118,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,118,4600000.0,1000.0,28.618239,77.054361,3.0,2.0,0.0,1.0,1.0,4600.0,0.0
119,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,119,7500000.0,1390.0,28.548787,77.346032,3.0,2.0,3.0,1.0,2.0,5395.6834532374105,1.0
120,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,120,7000000.0,1326.0,28.397731,77.036526,3.0,3.0,3.0,1.0,2.0,5279.034690799396,1.0
121,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,121,5800000.0,1270.0,28.524543,77.364765,3.0,3.0,0.0,0.0,0.0,4566.929133858268,0.0
122,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,122,5200000.0,1175.0,28.500621,77.424203,2.0,2.0,0.0,0.0,0.0,4425.531914893617,0.0
123,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,123,26000000.0,3755.0,28.5279804259531,77.354191,4.0,6.0,2.0,2.0,5.0,6924.101198402131,1.0
124,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,124,20000000.0,1650.0,28.666059,77.150134,3.0,3.0,4.0,1.0,0.0,12121.212121212122,1.0
125,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,125,3200000.0,800.0,28.5201861,77.179158,2.0,2.0,1.0,0.0,0.0,4000.0,1.0
126,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,126,8500000.0,1100.0,28.6288025,77.0958556,2.0,2.0,0.0,1.0,0.0,7727.272727272727,0.0
127,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,127,4320000.0,800.0,28.38762,77.06237,2.0,2.0,0.0,0.0,0.0,5400.0,0.0
128,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,128,6709999.999999999,1180.0,28.65493,77.350989,2.0,2.0,2.0,1.0,2.0,5686.440677966101,1.0
129,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,129,16900000.0,1935.0,28.45451736450196,77.08187103271484,3.0,4.0,2.0,2.0,1.0,8733.850129198967,1.0
130,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,130,12500000.0,1800.0,28.576661,77.339673,3.0,3.0,2.0,1.0,0.0,6944.444444444444,0.0
131,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,131,5000000.0,1200.0,28.577634811401367,77.39510345458984,3.0,2.0,3.0,0.0,0.0,4166.666666666667,0.0
132,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,132,12000000.0,1250.0,28.564363,77.24171,2.0,2.0,2.0,2.0,0.0,9600.0,1.0
133,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,133,2700000.0,770.0,28.497467041015625,77.027099609375,2.0,2.0,1.0,1.0,1.0,3506.493506493506,1.0
134,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,134,11000000.0,1200.0,28.6017251,77.3178069,3.0,2.0,0.0,0.0,0.0,9166.666666666666,0.0
135,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,135,14000000.0,2500.0,28.51766395568848,77.07933044433594,5.0,5.0,0.0,3.0,0.0,5600.0,1.0
136,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,136,7500000.0,1675.0,28.446568,76.968477,3.0,3.0,0.0,0.0,0.0,4477.611940298508,0.0
